"","speaker","plays","count_speaker","count_plays"
"68","apollo","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723, Uden hoved og hale Komedie",6,2
"69","arbaces","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",115,1
"70","arianke","Barselsstuen Komedie, Den politiske kandestøber Komedie",25,2
"71","artabanus","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",97,1
"72","artabanus og semira.","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",1,1
"73","artaxerxes","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",95,1
"74","arv","Den honnette ambition Komedie i 3 akter, Hekseri eller blind alarm Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Jean de France eller Hans Frandsen Komedie, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Republikken eller Det gemene bedste Komedie i 3 akter",353,9
"75","astrologus","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",8,1
"76","asverus","Ulysses von Ithacia eller En tysk komedie",2,1
"77","b�rnene","Julestue Komedie",2,1
"78","barberen","Den stundesløse Komedie i 3 akter",6,1
"79","baronen","Den honnette ambition Komedie i 3 akter, Jeppe på Bjerget eller Den forvandlede bonde",86,2
"80","barselskvinden","Barselsstuen Komedie",175,1
"81","bellona","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"82","betjenten","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter",22,2
"83","bogholderen","Den stundesløse Komedie i 3 akter",11,1
"84","bondedrengen/paltsgreven","Den pantsatte bondedreng Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter, Ulysses von Ithacia eller En tysk komedie",135,5
"85","bonden","Den pantsatte bondedreng Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter, Ulysses von Ithacia eller En tysk komedie",111,5
"86","borgeren","Den politiske kandestøber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",17,2
"87","borgmesteren","Den politiske kandestøber Komedie",9,1
"88","borgmesterinden","Den politiske kandestøber Komedie",1,1
"89","bremenfeldt","Republikken eller Det gemene bedste Komedie i 3 akter",10,1
"90","byfogeden","Mester Gert Westphaler eller Den meget talende barber Komedie",9,1
"91","chilian","Ulysses von Ithacia eller En tysk komedie",216,1
"92","chiromanticus","Barselsstuen Komedie",18,1
"93","chorus","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",3,1
"94","christine","Barselsstuen Komedie",7,1
"95","christoff","Den stundesløse Komedie i 3 akter, Den vægelsindede Komedie, Diderich Menschenskræk Komedie i 1 akt, Jacob von Tyboe eller Den stortalende soldat Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",96,5
"96","christopher","Barselsstuen Komedie, Den vægelsindede Komedie i 3 akter, Julestue Komedie",56,3
"97","claus","Barselsstuen Komedie",9,1
"98","colombine","De usynlige Komedie i 3 akter",49,1
"99","corfitz","Barselsstuen Komedie, Den stundesløse Komedie i 3 akter",221,2
"100","cosmoligoreus","Philosophus i egen indbildning Komedie i 5 akter",223,1
"101","cupido","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"102","davus","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",145,1
"103","de 2 komedianter","Hekseri eller blind alarm Komedie i 5 akter",1,1
